"Year_First","Year_Last","Country","PDF"
"",NA,"Gabon","internal-pdf://0008802016.pdf"
"",NA,"Gabon","internal-pdf://0008802016.pdf"
"",NA,"Democratic Republic of Congo","internal-pdf://1827651569.pdf"
"",NA,"Democratic Republic of Congo","internal-pdf://1827651569.pdf"
"",NA,"Gabon","internal-pdf://0008802016.pdf"
"",NA,"Gabon","internal-pdf://0008802016.pdf"
"",NA,"Kenya","internal-pdf://1471319275.pdf"
"",NA,"Republic of Congo","internal-pdf://0008802016.pdf"
"",NA,"Uganda","internal-pdf://3387351113.pdf"
"",NA,"Uganda","internal-pdf://3387351113.pdf"
"",NA,"Zimbabwe","internal-pdf://3387351113.pdf"
"",NA,"Philippines","internal-pdf://1471319275.pdf"
"",NA,"Philippines","internal-pdf://1471319275.pdf"
"",NA,"Bangladesh","internal-pdf://2477303154.pdf"
"",NA,"Bangladesh","internal-pdf://2477303154.pdf"
"",NA,"China","internal-pdf://2306046655.pdf"
"",NA,"China","internal-pdf://2306046655.pdf"
"",NA,"China","internal-pdf://0278287729.pdf"
"",NA,"Philippines","internal-pdf://1217382941.pdf;internal-pdf://4154443567.pdf"
"",NA,"Philippines","internal-pdf://1217382941.pdf;internal-pdf://4154443567.pdf"
"",NA,"Philippines","internal-pdf://1217382941.pdf;internal-pdf://4154443567.pdf"
"",NA,"","internal-pdf://2192631510.pdf;internal-pdf://1720378531.pdf"
"2010",2011,"Nigeria",NA
"",NA,"","internal-pdf://2192631510.pdf;internal-pdf://1720378531.pdf"
"2013",2013,"Saudi Arabia","internal-pdf://0358861568.pdf"
"2013",2013,"Saudi Arabia","internal-pdf://0358861568.pdf"
"2013",2013,"Saudi Arabia","internal-pdf://0358861568.pdf"
"2013",2013,"Saudi Arabia","internal-pdf://0358861568.pdf"
"2013",2013,"Saudi Arabia","internal-pdf://0358861568.pdf"
"",NA,"","internal-pdf://2503979998.pdf"
"1992",1992,"Saudi Arabia","internal-pdf://0358861568.pdf"
"1993",1993,"Saudi Arabia","internal-pdf://0358861568.pdf"
"1996",1996,"Saudi Arabia","internal-pdf://0358861568.pdf"
"2004",2004,"Saudi Arabia","internal-pdf://0358861568.pdf"
"2009",2009,"Saudi Arabia","internal-pdf://0358861568.pdf"
"",NA,"Uganda","internal-pdf://2192631510.pdf;internal-pdf://1720378531.pdf"
"",NA,"Uganda","internal-pdf://2192631510.pdf;internal-pdf://1720378531.pdf"
"1994",1994,"Saudi Arabia","internal-pdf://0358861568.pdf"
"",NA,"Senegal","internal-pdf://2192631510.pdf;internal-pdf://1720378531.pdf"
"",NA,"Uganda","internal-pdf://2192631510.pdf;internal-pdf://1720378531.pdf"
"2010",2010,"Saudi Arabia","internal-pdf://0358861568.pdf"
"2013",2013,"Saudi Arabia","internal-pdf://0358861568.pdf"
"1972",NA,"Senegal",""
"",NA,"","internal-pdf://1347402211.pdf"
"1983",NA,"Senegal",""
"",NA,"Senegal",""
